in:Option_ID,in:WWR_N,in:WWR_E,in:WWR_S,in:WWR_W,in:Vert_Overhang,in:Horiz_Overhang,in:Wall_R,in:Roof_R,in:Glazing_U,in:Operable_Percent,in:Scale,in:Length,in:SHGC,in:Infil,out:Peak_Cooling_Load,out:Peak_Heating_Load,out:Hours_above_acceptability,out:1,out:2,out:3,out:4,out:5,out:6,out:7,out:8,out:9,out:10,out:11
0,0.672105379,0.531600949,0.765906183,0.754440177,0.135087378,1.876213421,17.68035788,25.72596264,0.68042963,0.184023942,1.05862506,29.89163103,0.573461676,0.000411765,427402.428,605495.727,83,82,79,83,83,80,84,86,83,81,80,79
1,0.573579915,0.482582534,0.68795122,0.395269643,0.372889022,0.267005331,7.732785399,13.45039442,0.681871103,0.071902942,1.196992593,20.43801737,0.309599717,0.000497268,462028.1393,881869.281,79,75,71,79,80,78,79,81,79,78,75,72
2,0.161488929,0.75368165,0.657016692,0.395625933,0.753662879,1.894213423,24.97462577,30.71804373,0.483645469,0.46675782,1.023353979,25.43488519,0.450157326,0.000284308,289689.6275,550168.9885,82,74,77,86,83,82,86,83,83,81,75,77
3,0.607576249,0.53498172,0.613916266,0.76195566,0.562476041,1.056263382,10.3491826,14.31960404,0.791799926,0.475338414,0.89952028,26.66322619,0.372108519,0.000484267,298270.6473,380737.191,78,76,76,78,80,78,78,80,78,77,74,76
4,0.158026437,0.705662589,0.350882331,0.402648534,0.965428553,1.765873381,10.03544398,21.03619466,0.771595813,0.167904439,1.082341274,27.75015865,0.675064636,0.000307795,406107.9721,527658.924,88,84,81,88,86,83,88,90,83,87,82,81
5,0.183753985,0.201576303,0.442562498,0.633986436,0.594586602,1.002476644,20.70662475,32.68224818,0.412475849,0.662779444,1.127926759,23.04900174,0.330181366,0.000392093,308120.5668,483272.9437,74,59,70,79,79,79,79,80,78,75,68,74
6,0.401804413,0.423497518,0.440192653,0.699345847,0.488963745,1.597645782,19.20905249,21.10664086,0.301044524,0.682229836,1.166332047,22.79955891,0.65746175,0.00041082,487716.3909,788550.1575,84,80,82,84,84,83,85,84,83,84,79,81
7,0.167021005,0.662924285,0.282284654,0.608422325,0.829968784,1.697814889,17.02287325,33.61098787,0.703505282,0.76874831,0.989131098,24.49061113,0.49076503,0.000248366,279325.3862,452595.6042,82,74,79,86,83,83,86,83,83,81,76,78
8,0.214976117,0.35109876,0.391443985,0.379010347,0.551717366,0.330517305,18.94858647,13.0144514,0.721661313,0.268481806,1.096777024,22.07355465,0.579023469,0.00046182,393397.6573,575578.62,80,77,77,82,83,80,81,84,80,81,79,78
9,0.3249901,0.617155282,0.475939468,0.615306625,0.619354937,0.340243318,27.20075821,26.64856574,0.702163806,0.774406228,1.02902905,20.48325914,0.516783787,0.000254169,341508.9522,765195.0808,82,79,80,86,83,83,85,83,83,82,80,79
10,0.423290184,0.198674652,0.414696518,0.468252178,0.364470492,0.579148904,28.71888768,37.76559994,0.472701909,0.500126531,0.812833806,26.39671704,0.632862685,0.000296731,186322.8482,192020.9411,82,81,82,84,84,84,85,85,84,82,80,82
11,0.52045224,0.570811006,0.206115804,0.337692733,0.44308961,0.565477588,13.56900545,31.18249836,0.577960632,0.169960285,1.004110299,26.96330626,0.210805653,0.000281332,221788.9608,351796.028,76,67,68,80,83,79,80,81,77,76,69,67
12,0.506783406,0.560541088,0.308063967,0.671332711,0.148764656,0.62542018,14.90463165,9.27865817,0.658439035,0.512699184,1.054325383,25.46203945,0.31318596,0.000308092,350859.3912,435092.016,79,70,75,81,82,80,81,81,80,79,70,72
13,0.290598204,0.609417982,0.371274086,0.685811593,0.182819209,0.210629214,13.07315933,12.6501727,0.929551183,0.109601922,0.971019262,29.45938487,0.438746428,0.000222413,314309.8531,446764.778,84,82,80,86,88,83,87,90,83,83,83,80
14,0.716350135,0.229691677,0.586235011,0.259696934,0.142859159,1.059013076,6.323248118,27.27469999,0.499328252,0.615739011,0.90854637,24.3359323,0.272033409,0.000207897,179693.104,261082.6418,77,72,74,80,81,79,80,82,79,76,69,70
15,0.160913022,0.165233719,0.63644823,0.412021641,0.39156894,0.795338813,10.84716355,38.85690361,0.833928534,0.245924627,1.146832999,21.49063666,0.234463694,0.000350279,311094.7086,479859.931,73,60,66,78,76,76,79,81,76,69,66,66
16,0.448790892,0.295666702,0.348789476,0.260483577,0.827576147,0.638383117,9.496081079,37.46042805,0.699143923,0.392366517,1.114709104,20.82000604,0.644748354,0.000440532,359924.446,550418.918,81,80,78,81,82,80,81,83,80,80,78,75
17,0.254724539,0.708347666,0.382124993,0.31545957,0.456724471,1.594621737,28.19165282,34.12674647,0.928458764,0.797837888,0.997550983,20.25110632,0.478137919,0.000276753,301589.5575,434226.546,82,73,76,84,82,82,85,83,82,82,74,76
